Pertanyaan,Jawaban
tanggal 22 juni 2009 disahkan undangundang nomor 22 2009 linta angkutan jalan linta angkutan jalan undangundang nomor 22 2009,linta angkutan jalan kesatuan system linta
linta angkutan jalan diselenggarakan memperhatikan asa transparan disamp 5 asa,1 asa manfaat 2 asa efisien aktif 3 asa seimbang 4 asa terpadu 5 asa mandiri
penyelenggaraan linta angkutan jalan tujuan sebutkan tujuan tujuan penyelenggaraan linta angkutan jalan,a terwujudnya etika linta budaya bangsa b terwujudnya penegakan hukum kepastian hukum masyarakat
undangundang linta angkutan jalan berlaku membina menyelenggarakan linta angkutan jalan aman disamp kegiatan,kegiatan berkaitan registrasi identifikasi kendaraan bermotor pengemudi
negara bertanggung linta angkutan jalan pembinaannya dilaksanakan pemerintah pembinaan linta angkutan jalan pemerintah meliputi,a perencanaan b pengaturan c pengendalian d pengawasan
penyelenggaraan linta angkutan jalan dilaksanakan instansi pembina sesuai tuga pokok fungsinya sebutkan bidang sajakah urusan ditangani pemerintah penyelenggaraan linta angkutan jalan,a bidang jalan b bidang sarana prasarana linta angkutan jalan c bidang pengembangan industri linta angkutan jalan d bidang pengembangan teknolog linta angkutan jalan e bidang registrasi identifikasi kendaraan bermotor pengemudi
penyelenggaraan linta angkutan jalan kegiatan pelayanan langsung masyarakat pemerintah urusan pemerintahan bidang sarana prasarana linta angkutan jalan dilaksanakan,kementerian negara bertanggung bidang sarana prasarana linta angkutan jalan
melaksanakan pembinaan linta angkutan jalan urusan pemerintah provinsi pembinaan linta angkutan jalan meliputi,a penetapan sasaran arah kebijakan sistem linta angkutan jalan provinsi kabupatenkota jaringannya melampaui bata wilayah kabupatenkota b pemberian bimbingan pelatihan sertifikasi izin perusahaan angkutan provinsi c pengawasan pelaksanaan linta angkutan jalan provinsi
urusan pemerintahan bidang pengembangan industri linta angkutan jalan dilaksanakan kementerian negara bertanggung bidang industri urusan pemerintahan bidang pengembangan teknolog linta angkutan jalan dilaksanakan kementerian negara bertanggung bidang pengembangan teknolog urusan pemerintahan bidang registrasi identifikasi kendaraan bermotor pengemudi,kepolisian negara republik indonesia
penyelenggaraan bidang registrasi identifikasi kendaraan bermotor pengemudi a pengujian penerbitan surat izin mengemudi kendaraan bermotor b pelaksanaan registrasi identifikasi kendaraan bermotor c pengumpulan pemantauan pengolahan penyajian data linta angkutan jalan d pengelolaan pusat pengendalian sistem informasi komunikasi linta angkutan jalan e pengaturan penjagaan pengawalan patroli linta f penegakan hukum meliputi penindakan pelanggaran penanganan kecelakaan linta disamp 3 tuga kepolisian negera republik indonesia,a pendidikan linta b pelaksanaan manajemen rekayasa linta c pelaksanaan manajemen operasion linta
penyelenggaraan linta angkutan jalan terkoordinasi forum linta angkutan jalan sebutkan tuga forum linta angkutan jalan,koordinasi antarinstansi penyelenggara keterpaduan merencanakan menyelesaikan linta angkutan jalan
mewujudkan linta angkutan jalan terpadu pengembangan jaringan linta angkutan jalan menghubungkan wilayah daratanyang berpedoman rencana induk jaringan linta angkutan jalan sesuai kebutuhan rencana induk jaringan linta angkutan jalan,d rencana induk jaringan linta angkutan jalan nasion e rencana induk jaringan linta angkutan jalan provinsi f rencana induk jaringan linta angkutan jalan kabupatenkota
rencana induk jaringan linta angkutan jalan nasion disusun berkala mempertimbangkan kebutuhan transportasi ruang kegiatan berskala nasion prose penyusunan penetapan rencana induk jaringan linta angkutan jalan nasion terebut memperhatikan rencana tata ruang wilayah nasion rencana induk jaringan linta angkutan jalan nasion,a prakiraan perpindahan orang danatau barang tujuan perjalanan lingkup nasion b arah kebijakan peranan linta angkutan jalan nasion moda transportasi c rencana lokasi kebutuhan simpul nasion d rencana kebutuhan ruang linta nasion
rencana induk jaringan linta angkutan jalan provinsi memuat a prakiraan perpindahan orang danatau barang tujuan perjalanan lingkup provinsi b arah kebijakan peranan linta angkutan jalan provinsi moda transportasi c rencana lokasi kebutuhan simpul provinsi d rencana kebutuhan ruang linta provinsi rencana induk jaringan linta angkutan jalan kabupatenkota memuat,a prakiraan perpindahan orang danatau barang tujuan perjalanan lingkup kabupatenkota b arah kebijakan peranan linta angkutan jalan kabupatenkota moda transportasi c rencana lokasi kebutuhan simpul kabupatenkota d rencana kebutuhan ruang linta kabupatenkota
uu no 22 2009 jalan dikelompokkan kela pengelompokan jalan pertimbangan,a fungsi intensita linta kepentingan pengaturan penggunaan jalan kelancaran linta angkutan jalan b daya dukung menerima muatan sumbu terberat dimensi kendaraan bermotor
pengelompokkan jalan kela jalan dibagi 4 kelompok sebutkan keempat kelompok jalan,jalan kela i
penetapan kela jalan rua jalan a pemerintah jalan nasion b pemerintah provinsi jalan provinsi c pemerintah kabupaten jalan kabupaten d pemerintah kota penetapan kela jalan dinyatakan,rambu linta
jalan memiliki bata kecepatan ditetapkan nasion bata kecepatan ditentukan berdasarkan,kawasan permukiman
pertimbangan keselamatan pertimbangan khusu,bata absolut 60 enam puluh kilomet jam kondisi aru beba
jalan dioperasikan memenuhi persyaratan laik fungsi jalan tekni administratif penyelenggara jalan wajib melaksanakan uji kelaikan fungsi jalan pengoperasian jalan,ya
penyelenggara jalan wajib patut memperbaiki jalan rusak mengakibatkan kecelakaan linta perbaikan jalan rusak,penyelenggara jalan wajib tanda rambu jalan rusak mencegah kecelakaan linta
jalan linta wajib dilengkapi perlengkapan jalan a rambu linta b marka jalan c alat pemberi isyarat linta d alat penerangan jalan e alat pengendali pengaman pengguna jalan f alat pengawasan pengamanan jalan disamp jalan linta wajib dilengkapi fasilita,a fasilita sepeda pejalan kaki penyandang cacat b fasilita pendukung kegiatan linta angkutan jalan jalan badan jalan
penyediaan perlengkapan jalan diselenggarakan a pemerintah jalan nasion b pemerintah provinsi jalan provinsi c pemerintah kabupatenkota jalan kabupatenkota jalan desa jalan tol,badan usaha jalan tol
mendukung pelayanan linta angkutan jalan aman dana preservasi jalan khusu,kegiatan pemeliharaan
pengelolaan dana preservasi jalan dilaksanakan berdasarkan prinsip sebutkan prinsip dilaksanakan,prinsip berkelanjutan
menunjang kelancaran perpindahan orang danatau barang keterpaduan intramoda antarmoda pembangunan termin dilengkapi syarat,rancang bangun buku kerja rancang bangun rencana induk termin analisi dampak linta analisi dampak lingkungan
penentuan lokasi termin memperhatikan rencana kebutuhan termin rencana induk jaringan linta angkutan jalan penetapan lokasi termin memperhatikan,a tingkat aksesibilita pengguna jasa angkutan b kesesuaian lahan rencana tata ruang wilayah nasion rencana tata ruang wilayah provinsi rencana tata ruang wilayah kabupatenkota c kesesuaian rencana pengembangan danatau kinerja jaringan jalan jaringan trayek jaringan linta d kesesuaian rencana pengembangan danatau pusat kegiatan e keserasian keseimbangan kegiatan f permintaan angkutan g kelayakan tekni finansi ekonomi h keamanan keselamatan linta angkutan jalan danatau i kelestarian lingkungan hidup
penyelenggara termin wajib pelayanan jasa termin sesuai standar pelayanan ditetapkan pelayanan jasa termin dikenakan retribusi,ya
penyediaan fasilita parkir diselenggarakan ruang milik jalan sesuai izin penetapan lokasi pembangunan fasilita parkir pemerintah daerah memperhatikan,a rencana tata ruang b analisi dampak linta c kemudahan pengguna jasa
penyelenggaraan linta angkutan jalan fasilita pendukung disediakan pemerintah fasilita pendukung meliputi,ttrotoar
kendaraan a kendaraan bermotor b kendaraan bermotor sebutkan jenisjeni kendaraan bermotor,a sepeda motor b mobil penumpang c mobil bu d mobil barang e kendaraan khusu
kendaraan bermotor dioperasikan jalan memenuhi persyaratan tekni laik jalan persyaratan laik jalan,emisi ga buang kebisingan suara efisiensi sistem rem utama efisiensi sistem rem parkir kincup roda suara klakson daya pancar arah sinar lampu utama radiu putaakurasi alat penunjuk kecepatan kesesuaian kinerja roda kondisi ban kesesuaian daya mesin penggerak berat kendaraan
kendaraan bermotor uji berkala diwajibkan jeni kendaraan,mobil penumpang
kendaraan bermotor dioperasikan jalan wajib dilengkapi perlengkapan kendaraan bermotor kendaraan beroda,sabuk keselamatan
kendaraan bermotor dioperasikan jalan dilarang memasang perlengkapan mengganggu keselamatan linta perlengkapan mengganggu keselamatan linta ”,“ perlengkapan mengganggu keselamatan linta ” pemasangan peralatan
kepentingan kendaraan bermotor dilengkapi lampu isyarat siren warna merah biru kune lampu isyarat warna merah biru siren berfungsi tanda kendaraan bermotor memiliki hak utama lampu isyarat kune berfungsi,tanda peringatan pengguna jalan
lampu isyarat warna biru siren kendaraan bermotor petuga kepolisian negara republik indonesia lampu isyarat warna merah siren kendaraan bermotor tahanan lampu isyarat warna kune siren kendaraan,kendaraan bermotor patroli jalan tol
pemerintah kemudahan linta pesepeda,fasilita pendukung keamanan
kendaraan bermotor wajib diregistrasikan meliputi a registrasi kendaraan bermotor b registrasi perubahan identita kendaraan bermotor pemilik c registrasi perpanjangan kendaraan bermotor d registrasi pengesahan kendaraan bermotor tujuan registrasi kendaraan bermotor bertujuan,a tertib administrasi b pengendalian pengawasan kendaraan bermotor dioperasikan indonesia c mempermudah penyidikan pelanggaran danatau kejahatan d perencanaan operasion manajemen rekayasa linta angkutan jalan e perencanaan pembangunan nasion
registrasi kendaraan bermotor dilaksanakan kepolisian negara republik indonesia sistem manajemen registrasi kendaraan bermotor,forensik kepolisian
registrasi kendaraan bermotor meliputi kegiatan a registrasi identifikasi kendaraan bermotor pemiliknya b penerbitan buku pemilik kendaraan bermotor c penerbitan surat tanda nomor kendaraan bermotor tanda nomor kendaraan bermotor bukti kendaraan bermotor diregistrasi,buku pemilik kendaraan bermotor
pelaksanaan registrasi kendaraan bermotor penyelenggaraannya terintegrasi terkoordinasi sistem administrasi manungg atap sebutkan dilaksanakan sistem administrasi manungg atap,pembayaran pajak kendaraan bermotor pembayaran sumbangan wajib dana kecelakaanlalu linta angkutan jalan
kendaraan bermotor dioperasikan jalan wajib dilengkapi surat tanda nomor kendaraan bermotor tanda nomor kendaraan bermotor dimuat surat tanda nomor kendaraan bermotor,data kendaraan bermotor
kendaraan bermotor diregistrasi dioperasikan jalan kepentingan dilengkapi surat tanda coba kendaraan bermotor tanda coba nomor kendaraan bermotor surat tanda coba kendaraan bermotor tanda coba nomor kendaraan bermotor kepolisian negara republik indonesia,badan usaha bidang penjualan
pengesahan surat tanda nomor kendaraan tanda nomor kendaraan bermotor diperpanjang habi berlakunya stnk tanda nomor kendaraan bermotor berlaku jangka,5 wajib diajukan permohonan perpanjangan
pemilik kendaraan bermotor wajib melaporkan kepolisian negara republik indonesia a bukti registrasi hilang rusak b spesifikasi tekni danatau fungsi kendaraan bermotor diubah c kepemilikan kendaraan bermotor beralih d kendaraan bermotor terusmeneru 3 wilayah kendaraan diregistrasi “ fungsi kendaraan bermotor diubah ”,“ fungsi kendaraan bermotor diubah ” perubahan fungsi kendaraan bermotor kendaraan bermotor perseorangan
kendaraan bermotor diwajibkan uji berkala pelanggaran dikenai sanksi administratif sebutkan sanksi administratif dikenakan pelanggaran,a peringatan tertuli b pembayaran denda c pembekuan izin d pencabutan izin
orang mengemudikan kendaraan bermotor jalan wajib memiliki surat izin mengemudi sesuai jeni kendaraan bermotor dikemudikan surat izin mmengemudi 2 jeni,a sim perseorangan b sim kendaraan bermotor
surat izin mengemudi sebutkan bentuk penggolongan sim diatur undangundang lau linta angkutan jalan,a sim a berlaku mengemudikan mobil penumpang barang perseorangan b sim b i berlaku mengemudikan penumpang barang perseorangan c sim b ii berlaku mengemudikan kendaraan alat berat d sim c berlaku mengemudikan sepeda motor e sim d berlaku mengemudikan kendaraan khusu penyandang cacat
sim orang memenuhi persyaratan usia sebutkan syarat usia masingmas sim,a usia 17 tujuh bela sim a b usia 20 puluh sim b i c usia 21 puluh sim b ii
syarat sim lulu ujian meliputi ujian sim,a ujian teori b ujian praktik c ujian ketrampilan simul
orang mengajukan permohonan memiliki surat izin mengemudi kendaraan bermotor memenuhi persyaratan usia persyaratan khusu sebutkan syarat usia surat izin mengemudi kendaraan bermotor,a minim berusia 20 puluh surat izin mengemudi a b minim berusia 22 puluh surat izin mengemudi b i c minim berusia 23 puluh surat izin mengemudi b ii
surat izin mengemudi berlaku 5 diperpanjang surat izin mengemudi berlaku wilayah negara kesatuan republik indonesia,ya
surat izin mengemudi berfungsi bukti kompetensi mengemudi registrasi pengemudi kendaraan bermotor memuat keterangan identita lengkap pengemudi data registrasi pengemudi,mendukung kegiatan penyelidikan
kepolisian negara republik indonesia berwenang tanda data pelanggaran surat izin mengemudi milik pengemudi pelanggaran tindak pidana linta kepolisian negara republik indonesia berwenang mencabut sim diputu pengadilan,ya kepolisian negara republik indonesia berwenang menahan mencabut surat izin mengemudi diputu pengadilan
perusahaan angkutan wajib mematuhi memberlakukan ketentuan kerja kerja pengemudi kendaraan bermotor sehari,8 delapan jam sehari
perusahaan angkutan mematuhi memberlakukan ketentuan kerja sanksi administratifnya,a peringatan tertuli b pemberian denda administratif c pembekuan izin danatau d pencabutan izin
manajemen rekayasa linta dilaksanakan mengoptimalkan penggunaan jaringan jalan gerakan linta rangka menjamin keamanan manajemen rekayasa linta,a penetapan priorita angkutan massal penyediaan lajur jalur jalan khusu b pemberian priorita keselamatan kenyamanan pejalan kaki c pemberian kemudahan penyandang cacat d pemisahan pemilahan pergerakan aru linta berdasarkan peruntukan lahan mobilita aksesibilita e pemaduan moda angkutan f pengendalian linta persimpangan g pengendalian linta rua jalan danatau h perlindungan lingkungan
rencana pembangunan pusat kegiatan analisi dampak linta sekurangkurangnya memuat,a analisi bangkitan tarikan linta angkutan jalan b simulasi kinerja linta pengembangan c rekomendasi rencana implementasi penanganan dampak d tanggung pemerintah pengembang pembangun penanganan dampak e rencana pemantauan evaluasi
