Pasal,Isi Pasal
Pasal 1,undang maksud 1 lalu-lintas angkut jalan sistem lalu-lintas angkut jalan jaring lalu-lintas angkut jalan prasarana lalu-lintas angkut jalan kendara kemudi jalan kelola 2 lalu-lintas gerak kendara orang ruang lalu-lintas jalan 3 angkut pindah orang barang kendara ruang lalu-lintas jalan 4 jaring lalu-lintas angkut jalan rangkai simpul ruang giat hubung selenggara lalu-lintas angkut jalan 5 simpul ganti antarmoda intermoda upa terminal stasiun kereta api labuh laut labuh sungai danau bandar udara 6 prasarana lalu-lintas angkut jalan ruang lalu-lintas terminal lengkap jalan liput marka rambu alat isyarat lalu-lintas alat kendali kam jalan alat awas aman jalan fasilitas dukung 7 kendara sarana angkut jalan kendara motor kendara motor 8 kendara motor kendara gerak alat mekanik upa mesin kendara jalan rel 9 kendara motor kendara gerak tenaga manusia hewan 10 kendara motor kendara angkut barang orang pungut bayar 11 ruang lalu-lintas jalan prasarana gerak pindah kendara orang barang upa jalan fasilitas dukung 12 jalan jalan masuk bangun lengkap lengkap lalu-lintas muka tanah muka tanah muka tanah air muka air kecuali jalan rel jalan kabel 13 terminal pangkal kendara motor atur berangkat turun orang barang pindah moda angkut 14 halte henti kendara motor turun tumpang 15 parkir kendara henti gerak tinggal mud 16 henti kendara gerak tinggal mud 17 rambu lalu-lintas lengkap jalan upa lambang huruf angka kalimat padu fungsi larang perintah jalan 18 marka jalan tanda muka jalan muka jalan liput alat tanda bentuk garis bujur garis lintang garis serong lambang fungsi arah arus lalu-lintas batas daerah lalu-lintas 19 alat isyarat lalu-lintas perangkat elektronik isyarat lampu lengkap isyarat bunyi atur lalu-lintas orang kendara simpang ruas jalan 20 sepeda motor kendara motor roda rumah kereta samping kendara motor roda rumah 21 usaha angkut badan hukum sedia jasa angkut orang barang kendara motor 22 jasa orang badan hukum jasa usaha angkut 23 kemudi orang kemudi kendara motor jalan milik surat izin kemudi 24 celaka lalu-lintas peristiwa jalan duga sengaja libat kendara jalan akibat korban manusia rugi harta benda 25 tumpang orang kendara kemudi awak kendara 26 pejal kaki orang jalan ruang lalu-lintas jalan 27 jalan orang jalan berlalu-lintas 28 dana preservasi jalan dana khusus giat pelihara rehabilitasi rekonstruksi jalan sesuai standar 29 manajemen rekayasa lalu-lintas rangkai usaha giat liput rencana pasang atur pelihara fasilitas lengkap jalan rangka wujud dukung pelihara aman selamat tertib lancar lalu-lintas 30 aman lalu-lintas angkut jalan bebas orang barang kendara ganggu lawan hukum takut berlalu-lintas 31 selamat lalu-lintas angkut jalan hindar orang risiko celaka berlalu-lintas manusia kendara jalan lingkung 32 tertib lalu-lintas angkut jalan berlalu-lintas langsung atur sesuai hak wajib jalan 33 lancar lalu-lintas angkut jalan berlalu-lintas angkut bebas hambat macet jalan 34 sistem informasi komunikasi lalu-lintas angkut jalan kumpul subsistem hubung gabung pemrosesan simpan distribusi data kait selenggara lalu-lintas angkut jalan 35 sidik jabat polisi negara republik indonesia jabat pegawai negeri sipil wewenang khusus undang laku sidi 36 sidik bantu jabat polisi negara republik indonesia wewenang laku tugas sidi atur undang 37 perintah pusat perintah presiden republik indonesia pegang kuasa perintah negara republik indonesia maksud undang dasar negara republik indonesia 1945 38 perintah daerah gubernur bupati walikota perangkat daerah unsur selenggara perintah daerah 39 menteri bantu presiden pimpin menteri negara tanggung urus perintah bidang jalan bidang sarana prasarana lalu-lintas angkut jalan bidang industri bidang kembang teknologi bidang didik latih 40 kepala polisi negara republik indonesia pimpin polisi negara republik indonesia tanggung selenggara fungsi polisi liput bidang aman tertib masyarakat tega hukum lindung ayom layan masyarakat
Pasal 2,lalu-lintas angkut jalan selenggara perhati a asas transparan b asas akuntabel c asas d asas partisipatif e asas manfaat f asas efisien efektif g asas imbang h asas padu i asas mandiri
Pasal 3,lalu-lintas angkut jalan selenggara tuju a wujud layan lalu-lintas angkut jalan aman selamat tertib lancar padu moda angkut dorong ekonomi nasional maju sejahtera kukuh bangsa junjung martabat bangsa b wujud etika berlalu-lintas budaya bangsa c wujud tega hukum hukum masyarakat
Pasal 4,undang laku bina selenggara lalu-lintas angkut jalan aman selamat tertib lancar a giat gerak pindah kendara orang barang jalan b giat sarana prasarana fasilitas dukung lalu-lintas angkut jalan c giat kait registrasi identifikasi kendara motor kemudi didik berlalu-lintas manajemen rekayasa lalu-lintas tega hukum lalu-lintas angkut jalan
Pasal 5,1 negara tanggung lalu-lintas angkut jalan bina laksana perintah 2 bina lalu-lintas angkut jalan maksud ayat 1 liput a rencana b atur c kendali d awas 3 bina lalu-lintas angkut jalan maksud ayat 2 laksana instansi bina sesuai tugas pokok fungsi liput a urus perintah bidang jalan menteri negara tanggung bidang jalan b urus perintah bidang sarana prasarana lalu-lintas angkut jalan menteri negara tanggung bidang sarana prasarana lalu-lintas angkut jalan c urus perintah bidang kembang industri lalu-lintas angkut jalan menteri negara tanggung bidang industri d urus perintah bidang kembang teknologi lalu-lintas angkut jalan menteri negara tanggung bidang kembang teknologi e urus perintah bidang registrasi identifikasi kendara motor kemudi tega hukum operasional manajemen rekayasa lalu-lintas didik berlalu-lintas polisi negara republik indonesia
Pasal 6,1 bina lalu-lintas angkut jalan laku instansi bina maksud pasal 5 ayat 3 liput a sasar arah bijak kembang sistem lalu-lintas angkut jalan nasional b norma standar pedoman kriteria prosedur selenggara lalu-lintas angkut jalan laku nasional c kompetensi jabat laksana fungsi bidang lalu-lintas angkut jalan nasional d bimbing latih sertifikasi izin bantu teknis perintah provinsi perintah kabupaten kota e awas hadap laksana norma standar pedoman kriteria prosedur laku perintah daerah 2 laksana bina maksud ayat 1 perintah serah urus perintah provinsi perintah kabupaten kota 3 urus perintah provinsi laku bina lalu-lintas angkut jalan liput a sasar arah bijak sistem lalu-lintas angkut jalan provinsi kabupaten kota jaring lampau batas wilayah kabupaten kota b bimbing latih sertifikasi izin usaha angkut provinsi c awas hadap laksana lalu-lintas angkut jalan provinsi 4 urus perintah kabupaten kota laku bina lalu-lintas angkut jalan liput a sasar arah bijak sistem lalu-lintas angkut jalan kabupaten kota jaring wilayah kabupaten kota b bimbing latih sertifikasi izin usaha angkut kabupaten kota c awas hadap laksana lalu-lintas angkut jalan kabupaten kota
Pasal 7,1 selenggara lalu-lintas angkut jalan giat layan langsung masyarakat laku perintah perintah daerah badan hukum masyarakat 2 selenggara lalu-lintas angkut jalan perintah maksud ayat 1 laksana sesuai tugas pokok fungsi instansi liput a urus perintah bidang jalan menteri negara tanggung bidang jalan b urus perintah bidang sarana prasarana lalu-lintas angkut jalan menteri negara tanggung bidang sarana prasarana lalu-lintas angkut jalan c urus perintah bidang kembang industri lalu-lintas angkut jalan menteri negara tanggung bidang industri d urus perintah bidang kembang teknologi lalu-lintas angkut jalan menteri negara tanggung bidang kembang teknologi e urus perintah bidang registrasi identifikasi kendara motor kemudi tega hukum operasional manajemen rekayasa lalu-lintas didik berlalu-lintas polisi negara republik indonesia
Pasal 8,selenggara bidang jalan liput giat atur bina bangun awas prasarana jalan maksud pasal 7 ayat 2 huruf a a inventarisasi tingkat layan jalan b susun rencana program laksana tingkat layan jalan c rencana bangun optimalisasi manfaat ruas jalan d geometrik ruas jalan simpang jalan e kelas jalan ruas jalan f uji kelai fungsi jalan sesuai standar aman selamat berlalu-lintas g kembang sistem informasi komunikasi bidang prasarana jalan
Pasal 9,selenggara bidang sarana prasarana lalu-lintas angkut jalan maksud pasal 7 ayat 2 huruf b liput a rencana lalu-lintas angkut jalan b manajemen rekayasa lalu-lintas c syarat teknis laik jalan kendara motor d izin angkut e kembang sistem informasi komunikasi bidang sarana prasarana lalu-lintas angkut jalan f bina sumber daya manusia selenggara sarana prasarana lalu-lintas angkut jalan g sidi hadap langgar izin angkut syarat teknis kelai jalan kendara motor ahli alat khusus laksana sesuai undang
Pasal 10,selenggara bidang industri maksud pasal 7 ayat 2 huruf c liput a susun rencana program laksana kembang industri kendara motor b kembang industri lengkap kendara motor jamin aman selamat lalu-lintas angkut jalan c kembang industri lengkap jalan jamin aman selamat lalu-lintas angkut jalan
Pasal 11,selenggara bidang kembang teknologi maksud pasal 7 ayat 2 huruf d liput a susun rencana program laksana kembang teknologi kendara motor b kembang teknologi lengkap kendara motor jamin aman selamat lalu-lintas angkut jalan c kembang teknologi lengkap jalan jamin tertib lancar lalu-lintas angkut jalan
Pasal 12,selenggara bidang registrasi identifikasi kendara motor kemudi tega hukum operasional manajemen rekayasa lalu-lintas didik berlalu-lintas maksud pasal 7 ayat 2 huruf e liput a uji terbit surat izin kemudi kendara motor b laksana registrasi identifikasi kendara motor c kumpul pantau olah saji data lalu-lintas angkut jalan d kelola pusat kendali sistem informasi komunikasi lalu-lintas angkut jalan e atur jaga patroli lalu-lintas f tega hukum liput tindak langgar penangan- an celaka lalu-lintas g didik berlalu-lintas h laksana manajemen rekayasa lalu-lintas i laksana manajemen operasional lalu-lintas
Pasal 13,1 selenggara lalu-lintas angkut jalan maksud pasal 7 ayat 1 laku koordinasi 2 koordinasi selenggara lalu-lintas angkut jalan maksud ayat 1 laku forum lalu-lintas angkut jalan 3 forum lalu-lintas angkut jalan tugas laku koordinasi antarinstansi selenggara padu rencana selesai lalu-lintas angkut jalan 4 anggota forum lalu-lintas angkut jalan maksud ayat 3 unsur bina selenggara akademisi masyarakat 5 kena forum lalu-lintas angkut jalan atur atur perintah
Pasal 14,1 wujud lalu-lintas angkut jalan padu laku kembang jaring lalu-lintas angkut jalan hubung wilayah darat 2 kembang jaring lalu-lintas angkut jalan maksud ayat 1 pedoman rencana induk jaring lalu-lintas angkut jalan sesuai butuh 3 rencana induk jaring lalu-lintas angkut jalan maksud ayat 1 a rencana induk jaring lalu-lintas angkut jalan nasional b rencana induk jaring lalu-lintas angkut jalan provinsi c rencana induk jaring lintas angkut jalan kabupaten kota
Pasal 15,1 rencana induk jaring lalu-lintas angkut jalan nasional maksud pasal 14 ayat 3 huruf a susun timbang butuh transportasi ruang giat skala nasional 2 proses susun rencana induk jaring lalu-lintas angkut jalan nasional maksud ayat 1 perhati rencana tata ruang wilayah nasional 3 rencana induk jaring lalu-lintas angkut jalan nasional muat a prakira pindah orang barang tuju jalan lingkup nasional b arah bijak peran lalu-lintas angkut jalan nasional moda transportasi c rencana lokasi butuh simpul nasional d rencana butuh ruang lalu-lintas nasional
Pasal 16,1 rencana induk jaring lalu-lintas angkut jalan provinsi maksud pasal 14 ayat 3 huruf b susun timbang butuh lalu-lintas angkut jalan ruang giat skala provinsi 2 proses susun rencana induk jaring lalu-lintas angkut jalan provinsi maksud ayat 1 laku perhati a rencana tata ruang wilayah nasional b rencana tata ruang wilayah provinsi c rencana induk jaring lalu-lintas angkut jalan nasional 3 rencana induk jaring lalu-lintas angkut jalan provinsi muat a prakira pindah orang barang tuju jalan lingkup provinsi b arah bijak peran lalu-lintas angkut jalan provinsi moda transportasi c rencana lokasi butuh simpul provinsi d rencana butuh ruang lalu-lintas provinsi
Pasal 17,1 rencana induk jaring lalu-lintas angkut jalan kabupaten kota maksud pasal 14 ayat 3 huruf c susun timbang butuh lalu-lintas angkut jalan ruang giat skala kabupaten kota 2 proses susun rencana induk jaring lalu-lintas angkut jalan kabupaten kota maksud ayat 1 laku perhati a rencana tata ruang wilayah nasional b rencana induk jaring lalu-lintas angkut jalan nasional c rencana tata ruang wilayah provinsi d rencana induk jaring lalu-lintas angkut jalan provinsi e rencana tata ruang wilayah kabupaten kota 3 rencana induk jaring lalu-lintas angkut jalan kabupaten kota muat a prakira pindah orang barang tuju jalan lingkup kabupaten kota b arah bijak peran lalu-lintas angkut jalan kabupaten kota moda transportasi c rencana lokasi butuh simpul kabupaten kota d rencana butuh ruang lalu-lintas kabupaten kota
Pasal 18,kena susun rencana induk jaring lalu-lintas angkut jalan atur atur perintah ruang lalu-lintas
Pasal 19,1 jalan kelompok kelas dasar a fungsi intensitas lalu-lintas atur jalan lancar lalu-lintas angkut jalan b daya dukung terima muat sumbu berat dimensi kendara motor 2 kelompok jalan kelas jalan maksud ayat 1 a jalan kelas i jalan arteri kolektor kendara motor ukur lebar 2 500 ribu ratus milimeter ukur 18 000 delapan belas ribu milimeter ukur 4 200 ribu ratus milimeter muat sumbu berat 10 puluh ton b jalan kelas ii jalan arteri kolektor lokal lingkung kendara motor ukur lebar 2 500 ribu ratus milimeter ukur 12 000 belas ribu milimeter ukur 4 200 ribu ratus milimeter muat sumbu berat 8 delapan ton c jalan kelas iii jalan arteri kolektor lokal lingkung kendara motor ukur lebar 2 100 ribu ratus milimeter ukur 9 000 sembilan ribu milimeter ukur 3 500 ribu ratus milimeter muat sumbu berat 8 delapan ton d jalan kelas khusus jalan arteri kendara motor ukur lebar 2 500 ribu ratus milimeter ukur 18 000 delapan belas ribu milimeter ukur 4 200 ribu ratus milimeter muat sumbu berat 10 puluh ton 3 daya dukung jalan kelas iii maksud ayat 2 huruf c muat sumbu berat 8 delapan ton 4 kelas jalan dasar spesifikasi sedia prasarana jalan atur sesuai atur undang bidang jalan 5 kena jalan kelas khusus maksud ayat 2 huruf d atur atur perintah
Pasal 20,1 kelas jalan ruas jalan laku a perintah jalan nasional b perintah provinsi jalan provinsi c perintah kabupaten jalan kabupaten d perintah kota jalan kota 2 kelas jalan maksud ayat 1 nyata rambu lalu-lintas 3 kena kelompok kelas jalan maksud pasal 19 tata kelas jalan maksud ayat 1 ayat 2 atur atur perintah paragraf 2
Pasal 21,1 jalan milik batas cepat nasional 2 batas cepat maksud ayat 1 dasar kawasan mukim kawasan kota jalan antarkota jalan bebas hambat 3 timbang selamat timbang khusus perintah daerah batas cepat nyata rambu lalu-lintas 4 batas cepat rendah jalan bebas hambat batas absolut 60 enam puluh kilometer jam kondisi arus bebas 5 kena batas cepat maksud ayat 1 ayat 2 atur atur perintah
Pasal 22,1 jalan operasi penuh syarat laik fungsi jalan teknis administratif 2 selenggara jalan wajib laksana uji kelai fungsi jalan operasi jalan 3 selenggara jalan wajib laku uji kelai fungsi jalan jalan operasi jangka 10 puluh sesuai butuh 4 uji kelai fungsi jalan maksud ayat 2 ayat 3 laku tim uji laik fungsi jalan bentuk selenggara jalan 5 tim uji laik fungsi jalan maksud ayat 4 unsur selenggara jalan instansi tanggung bidang sarana prasarana lalu-lintas angkut jalan polisi negara republik indonesia 6 hasil uji kelai fungsi jalan wajib publikasi ditindaklanjuti selenggara jalan instansi tanggung bidang sarana prasarana lalu-lintas angkut jalan polisi negara republik indonesia 7 uji kelai fungsi jalan laksana sesuai atur undang
